,tweets
52,38 days until @peyup4 leaves for Costa Rica🙆 Prepared for Zika👊🏼 50 insect repellant bands &amp; 30 repellant wipes! https://t.co/YMMhgbgx7E
53,Oh hell nah RT @halfdozenred: Yup stay away RT @PhoneDaPosites: Miami mosquitos have Zika ?
54,@alexwilliams282 with a mosquito like Zika virus steal and layup 24-25 #fuego
55,"GeoLounge ~ One of the Oldest Terrestrial Globes to Go 3D, Mapping the Spread of the Zika … https://t.co/JbklsKOSRr https://t.co/YYuPhY3xmS"
56,Brazil is in turmoil. There's a Zika epidemic. But officials say the Olympics are on track. https://t.co/wb4hyupJde https://t.co/i5n3Cbsqeq
57,Comedy Central Host: “Marco Rubio Should be F—–” by a Zika Mosquito for Being Pro-Life https://t.co/bvdKO43MrT https://t.co/mwweiQr2hD
58,Comedy Central Host: “Marco Rubio Should be F—–” by a Zika Mosquito for Being Pro-Life https://t.co/FipOrTS5nC
59,"@HannaTetteh  Yup ! She is welcomed 2 d country of GARBAGE ; STENCH, FILTH &amp; MOSQUITOES ; Malaria &amp; ZikaVirus ! https://t.co/imy3g1NEbI"
60,iPhone Host: “Marco Rubio Should be F—–” by a Zika Mosquito for Being Pro-Life #fakeheadlinebot #learntocode #javascript
61,"Florida Shudders as Zika Spreads, Forcing Miami Shops to Close. Wanna stop the spread of Zika? Get Rid of GOP Gov. Rick Scott @BretBaier"
62,#Boston #News 4 Zika cases likely came from Florida mosquitoes https://t.co/IbmSyuPolD
63,"More bug spray, less dining al fresco planned in Zika zone https://t.co/4DYuPFIMvZ"
64,"Releasing genetically modified mosquitoes? Noooooo, nothing could go wrong with that. Cheez and rice, make a Zika vaccine!"
65,Zika virus ..terrorist ..you couldn't pay me to get either lol na fuck rio
66,"@senatorhollins yup...between the zika mosquitoes and the street crime, watching it on tv seems to be best..."
67,"my skin is so sensitive to touch,  fuck you mosquito, y'all think y'all slick, I ain't getting Zika 😂"
68,'Wanna stop all these shootings? Give everybody a gun! Wanna stop the Zika virus? Give everybody a mosquito!' #TrumpOnTheStump
69,"You know a mosquito is sexy when you wanna fuck it, zika or not."
70,Comedy Central Host: “Marco Rubio Should be F—–” by a Zika Mosquito for Being Pro-Life https://t.co/eSUqbmaEDw
71,Comedy Central Host: “Marco Rubio Should be F—–” by a Zika Mosquito for Being Pro-Life https://t.co/lanJAdCeF6 https://t.co/UmQKVjHfFz
72,Comedy Central Host: “Marco Rubio Should be F—–” by a Zika Mosquito for Being P..  - https://t.co/jMmcMLMQ51
73,"Every time I get bit by a mosquito I'm like 'Yup, that was the one. I got that Zika virus now...Gotta call in to work.'"
74,Comedy Central Host: “Marco Rubio Should be F—–” by a Zika Mosquito for Being Pro-Life https://t.co/dxWvPmW08w
75,fuck a mosquito bit me earlier today n they neva bite me he'll naw i aint trynna fuck w zika not in this life time  https://t.co/Kl5qaQafJM
76,FAO joins UN's integrated efforts to prevent spread of Zika https://t.co/8iBMqQyUPa
77,"Zika mosquito: thrives in hot weather, hard to wipe out  https://t.co/bi79JZyUPg"
78,#India🇮🇳 #CarMaker #Tata to change name of #Zica car after spread of #Zika virus. https://t.co/rYUprfRYQs
79,Comedy Central Host: “Marco Rubio Should be F—–” by a Zika Mosquito for Being Pro-Life https://t.co/qzi6Ns2qDS
80,Still haven't gotten used to having hair. Shit keeps touching my ear and I think a zika squito is tryna fuck my face so I jump.
81,Rubio: No abortions for Zika-infected women https://t.co/Q2CYuPGakg GOP TACKED PROTECTION -KOCH BROS PESTICIDES TO ZIKA BILL.
82,Comedy Central Host: “Marco Rubio Should be F—–” by a Zika Mosquito for Being Pro-Life https://t.co/BbKxBdpYtT
83,How y'all think Zika spread so fast in Miami... It's also a STD... Ain't no spray for that.😕
84,benshapiro: RT LifeNewsHQ: Comedy Central Host: “Marco Rubio Should be F—–” by a Zika Mosquito for Being Pro-Life https://t.co/yF74bWnveg …
85,I have 2 mosquito bites. 😭 Y'all think I have Zika? 🤔
86,Bio-friendly (and pretty) zika mosquito killer discovered by @nyupoly Prof. Mark Green https://t.co/BnOATEAB8s https://t.co/LlM1k1LFj3
87,New post: How to Protect Your Baby from the Zika Virus The Luxury Spot Here are the steps to take… https://t.co/MSOyupVduz
88,Smh with all these mosquitoes someone gonna fuck around and catch the Zika virus 🙄
89,Yup stay away RT @PhoneDaPosites: Miami mosquitos have Zika ?
90,"Yup, this always ends well. #MotherNature  Infected mosquitoes to be released in Brazil and Columbia to battle Zika  https://t.co/phhPA1Yqrp"
91,Ya know it's not easy tryna stop mosquitoes from flying around &amp; transmitting Zika. Stop putting the blame on govt.
92,#Zika facts and prevention advice for our blood donors traveling to areas endemic to mosquito-borne viruses.  https://t.co/xkeUGqyUPL
93,😐 RT @halfdozenred Yup stay away RT @PhoneDaPosites: Miami mosquitos have Zika ?
94,Villagers in Maharashtra beat zika &amp; other mosquito-borne illnesses by constructing underground soak pits https://t.co/lC4YuP81er
95,"Florida Shudders as Zika Spreads, Forcing Miami Shops to Close. Wanna stop the spread of Zika? Get Rid of GOP Gov. Rick Scott @CNN @MSNBC"
96,U.S. agencies issues rules to protect workers from Zika | NewsDaily https://t.co/h3yupspecE via @po_st
97,Sitting outside ... At night ... In Florida ... Yup ... I'm getting Zika ... The mosquitos are crazy
98,#FDA seeks comments: Draft Environmental Assessment for Genetically Engineered Mosquito https://t.co/IS2oQKDyUp  #Zika #ZikaVirus #NIH #CDC
99,"Now, I realise the zika virus is a serious thing not to be taken lightly, but how cool are the mosquito-gas cannons? https://t.co/JguyUP8CyF"
