,key,press_time,release_time,hold_time
82,i,1555490197.9927378,1555490198.0646877,0.07194995880126953
83,n,1555490198.1776946,1555490198.2415454,0.06385087966918945
84,g,1555490198.2581222,1555490198.336629,0.0785067081451416
85,Key.space,1555490198.360866,1555490198.4485643,0.08769822120666504
86,r,1555490198.952614,1555490199.0095716,0.05695748329162598
87,h,1555490199.1216729,1555490199.1618583,0.04018545150756836
88,t,1555490199.9536157,1555490200.025427,0.07181143760681152
89,h,1555490200.1936567,1555490200.2976089,0.10395216941833496
90,y,1555490200.8256507,1555490200.9135666,0.08791589736938477
91,m,1555490200.9617908,1555490201.025407,0.06361627578735352
92,s,1555490201.1366074,1555490201.2326272,0.09601974487304688
93,",",1555490201.3047593,1555490201.4256885,0.12092924118041992
94,Key.space,1555490201.3928208,1555490201.4649384,0.07211756706237793
95,m,1555490201.5526617,1555490201.6326492,0.0799875259399414
96,u,1555490201.760901,1555490201.8416288,0.08072781562805176
97,c,1555490201.9057882,1555490201.969366,0.06357789039611816
98,h,1555490201.993734,1555490202.0647979,0.07106399536132812
99,Key.space,1555490202.0726287,1555490202.1607966,0.08816790580749512
100,l,1555490202.280862,1555490202.33665,0.05578780174255371
101,i,1555490202.4808686,1555490202.5209591,0.04009056091308594
102,k,1555490202.6649091,1555490202.7295218,0.06461262702941895
103,e,1555490202.7535655,1555490202.8247032,0.07113766670227051
104,Key.space,1555490202.8019242,1555490202.8886034,0.08667922019958496
105,h,1555490203.0088005,1555490203.0727663,0.0639657974243164
106,a,1555490203.1127887,1555490203.2008247,0.08803606033325195
107,n,1555490203.2569659,1555490203.3126667,0.05570077896118164
108,d,1555490203.3768966,1555490203.4487643,0.07186770439147949
109,w,1555490204.0008934,1555490204.064703,0.06380963325500488
110,r,1555490204.176861,1555490204.2407184,0.0638573169708252
111,i,1555490204.2968452,1555490204.3607247,0.06387948989868164
112,t,1555490204.4328785,1555490204.5207572,0.08787870407104492
113,i,1555490204.5217104,1555490204.5776362,0.055925846099853516
114,n,1555490204.721829,1555490204.785784,0.06395506858825684
115,g,1555490204.8498273,1555490204.9077191,0.057891845703125
116,Key.space,1555490204.9778786,1555490205.0726562,0.09477758407592773
117,i,1555490205.2328477,1555490205.2968185,0.06397080421447754
118,s,1555490205.3448625,1555490205.424789,0.0799264907836914
119,Key.space,1555490205.426063,1555490205.4808195,0.05475640296936035
120,u,1555490205.6090138,1555490205.6651444,0.05613064765930176
121,s,1555490205.7138462,1555490205.8176463,0.10380005836486816
122,e,1555490205.8338964,1555490205.9134545,0.07955813407897949
123,d,1555490206.0567832,1555490206.136644,0.07986068725585938
124,Key.space,1555490206.1379545,1555490206.2087345,0.07078003883361816
125,t,1555490206.3768375,1555490206.4407623,0.06392478942871094
126,o,1555490206.8738348,1555490206.945534,0.07169914245605469
127,Key.space,1555490206.9798386,1555490207.048824,0.0689854621887207
