do octopuses breathe???,Go Data Science,Keyboard Slappers,Octopus Eaters,take your breath away,Anon. Wolverine,The Boys,The Bold and the Breathless,Group 10 TAKEN ,Group 11 taken,Taken Group,back,that one group,Group CU swim
41,40,35,40,35.8,64.3,41,30,38,65,14.36,41,31.48,65
42,55,25,60,41.62,55.8,69,38,46,23,24.35,30,50.17,166
25.42,61,73,87,54.53,63,32,32,62,,,130,48.27,
51,104,,,59.68,60,29,,54,,,,,
78,100,,,,107,,,,,,,,
38,,,,,,,,,,,,,
60,,,,,,,,,,,,,
34,,,,,,,,,,,,,
